00000000	- Sony PlayStation2 BIOS USA v02.30	-	
EE4AA14C	- Akira Psycho ball			-	(SLPS-20150)
21D3B445	- Arcana Heart				-	(SLUS-21720)
5231B7DC	- Suggoi! Arcana Heart 2		-	(SLPM-55147)
0D168765	- Armored Core 2			-	(SLUS-20014)
7E5F690C	- Armored Core: Nexus (Disc 1 Evolution)-	(SLUS-20986)
1F34E107	- Armored Core: Last Raven (NTSC-U)	-	()
4A9D8E01	- Baldur's Gate - Dark Alliance		-	(SLES-50672)
B0859096	- Baldur's Gate - Dark Alliance II	-	(SLUS-20675)
64328775	- Bloody Roar 3 (v2.01)			-	(SLPM-62055)
FB55E35C	- Bombastic (NTSC)			-	()
1384338F	- Bujingai				-	(SLPS-65459)
521D40D2	- Bujingai - The Forsaken City (NTSC)	-	()
15149318	- Capcom vs. SNK 2			-	(SLUS-20246)
A5C05C78	- Dark Cloud				-	(SCUS-97111)
23AF6876	- Dead or Alive 2 Hardcore		-	(SLUS-20071)
5EA6B8BE	- Dead to Rights			-	(SLUS-20220)
E1D6F85E	- Death By Degrees			-	(SLUS-20934)
79B8A95F	- Devil May Cry				-	(SLUS-20216)
5AE01D98	- Downhill Domination			-	(SCUS-97177)
9679D44C	- Drakengard 				-	(SLUS-20732)
79585776	- Drakengard 				-	(SLES-52322)
1648E3C9	- Drakengard 2				-	(SLUS-21373)
BFB0DFBE	- Drag-on Dragoon			-	()
1FCC0CFB	- Driving Emotion Type-S		-	(SLUS-20113)
5B665C0B	- Dynasty Warriors 2/Shin Sangokumusou	-	(SLUS-20079)
C22D5152	- Dynasty Warriors 3: Xtreme Legends	-	(SLUS-20617)
BD3DBCF9	- Dynasty Warriors 4: Empires		-	(SLUS-20938)
96C20D6F	- Dynasty Warriors 4: Xtreme Legends	-	(SLUS-20812)
A719D130	- Dynasty Warriors 5: Xtreme Legends	-	(SLUS-21299)
C7B9F4F7	- Eternal Ring				-	()
A35F68F7	- Minna no Golf (JP)			-	()
72326E67	- Hot Shots Golf (US)			-	()
7B09C4CB	- Everybody's Tennis (PAL)		-	()
758F0EE6	- Evergrace				-	()
